INFO 2025-10-19 04:35:00,840 chat_api.rag_service 🔍 Nueva consulta: Pregunta 1
INFO 2025-10-19 04:35:00,952 chat_api.rag_service 📊 Recuperados 0 documentos para: Pregunta 1...
INFO 2025-10-19 04:35:40,784 chat_api.rag_service 🔍 Nueva consulta: Pregunta 1
INFO 2025-10-19 04:35:40,807 chat_api.rag_service 📊 Recuperados 0 documentos para: Pregunta 1...
INFO 2025-10-19 04:36:54,882 chat_api.rag_service 🔍 Nueva consulta: Cómo se realiza una rematricula
INFO 2025-10-19 04:36:54,927 chat_api.rag_service 📊 Recuperados 5 documentos para: Cómo se realiza una rematricula...
INFO 2025-10-19 04:36:54,927 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 18.069
INFO 2025-10-19 04:36:54,927 chat_api.rag_service   2. Reserva de Matrícula - Proceso Completo - Score: 13.982
INFO 2025-10-19 04:36:54,927 chat_api.rag_service   3. Levantamiento de Reserva - Proceso Completo - Score: 10.873
INFO 2025-10-19 04:36:54,927 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 9.496
INFO 2025-10-19 04:36:54,928 chat_api.rag_service   5. Matrícula por Excepción - Proceso Completo - Score: 9.036
INFO 2025-10-19 04:36:54,928 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-19 04:36:54,928 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-19 04:38:04,581 chat_api.rag_service ⏱️ Tiempo de generación: 69.65s
INFO 2025-10-19 04:38:04,598 chat_api.rag_service ✅ Respuesta generada: 1687 caracteres
